publication_title;doi;data received from unpaywall;no paywall;pdf url
Trust and discourse;https://doi.org/10.1075/daps.57;yes;FAUX;
The challenge of measuring hunger through survey;https://doi.org/10.1086/686670;yes;FAUX;
Finite difference approximation of hedging quantities in the Heston model;https://doi.org/10.1063/1.4756109;no;FAUX;
Mind-sets of boundaryless careers in the public sector;https://doi.org/10.1177/0091026014528479;yes;FAUX;
Assessing indicators of currency crisis in Ethiopia;https://doi.org/10.1111/1467-8268.12149;no;FAUX;
QoE-driven rate adaptation heuristic for fair Adaptive Video Streaming;https://doi.org/10.1145/2818362;yes;FAUX;
Diaspora organizations, imagined communities and the versatility of diaspora;https://doi.org/10.1177/1367549414557803;yes;FAUX;
Sexual harassment;https://doi.org/10.1111/1467-8500.12207;yes;FAUX;
Hybridity and the news;https://doi.org/10.1177/1464884916657520;no;FAUX;
Japan and international refugee protection norms;https://doi.org/10.1177/0117196815606852;yes;FAUX;
The impact of multinational enterprises (MNEs) on knowledge-intensive business services (KIBS) start-ups;https://doi.org/10.1080/00343404.2014.932906;yes;VRAI;
Current-induced birefringent absorption and non-reciprocal plasmons in graphene;https://doi.org/10.1088/2053-1583/3/1/015012;yes;VRAI;http://pdfs.semanticscholar.org/8451/ced4125f72af3c65fd062fb19fc7e65503ea.pdf
Real-time intraoperative optical coherence tomography imaging confirms older concepts about the Berger space;https://doi.org/10.1159/000446243;yes;FAUX;
Ab-initio study of the segregation and electronic properties of neutral and charged B and P dopants in Si and  nanowires;https://doi.org/10.1063/1.4930049;yes;FAUX;
Sharing the silver screen;https://doi.org/10.1177/0974927615586932;yes;VRAI;https://aip.scitation.org/doi/pdf/10.1063/1.3295432
The influence of socio-economic status on mothers' volubility and responsiveness in a monolingual Dutch-speaking sample;https://doi.org/10.1177/0142723716639502;yes;FAUX;
Separation of modeling principles and design principles in enterprise engineering;https://doi.org/10.1007/978-3-319-48393-1_29;yes;VRAI;https://aip.scitation.org/doi/pdf/10.1063/1.3295551
Practical tools for implementing early palliative care in advanced lung cancer;https://doi.org/10.1183/13993003.00382-2016;yes;FAUX;
Singular and totally singular unitary spaces;https://doi.org/10.1080/00927872.2014.967354;yes;VRAI;https://repository.uantwerpen.be/docman/irua/aaab98/89652.pdf
Defining a standard set of patient-centred outcomes for lung cancer;https://doi.org/10.1183/13993003.02049-2016;yes;FAUX;
The importance of realistic dispersal models in conservation planning;https://doi.org/10.1111/1365-2664.12644;yes;FAUX;
Regioselective versatility of monooxygenase reactions catalyzed by CYP2B6 and CYP3A4;https://doi.org/10.1007/978-3-319-16009-2_6;yes;VRAI;http://pdfs.semanticscholar.org/aa73/096f5428e7c8d1bbe51ed7470275fdad0d38.pdf
Fast bias field reduction by localized Lloyd-Max quantization;https://doi.org/10.1117/12.770725;yes;FAUX;
L̦wdin correlation energy density of the inhomogeneous electron liquid in some closed-shell molecules at equilibrium geometry;https://doi.org/10.1080/00319100701790069;no;FAUX;
Globalization and variants of local adaptation;https://doi.org/10.1177/0268580916662384;yes;FAUX;
X-ray scattering factor of the inhomogeneous electron liquid in the ground state of the Ne atom: contribution of the exchange-correlation potential;https://doi.org/10.1080/00319100802239479;yes;FAUX;
Seeing through the window: pre-fetching strategies for out-of-core image processing algorithms;https://doi.org/10.1117/12.769424;no;FAUX;
Flexible network reconstruction from relational databases with Cytoscape and CytoSQL;https://doi.org/10.1186/1471-2105-11-361;yes;FAUX;
It's all about economics!;https://doi.org/10.1080/03088831003700553;no;FAUX;
Band structure, density of states, and transmission in graphene bilayer superlattices;https://doi.org/10.1063/1.3295551;no;FAUX;
