publication_title;abstract;doi;data received from unpaywall;no paywall;pdf url
Trust and discourse;Trust and Discourse: Organizational perspectives offers a timely collection of new articles on the relationship between discursive practices in organizational or institutional contexts and the psychological/moral category of trust. As globalization, the drive for efficiency and accountability, and increased time pressure lead groups and individuals to rethink the way they communicate, it is becoming more and more important to investigate how these streamlined and impersonal forms of communication affect issues of responsibility, authenticity and ultimately trust. The book deals with a variety of organizational settings ranging from in-hospital bedside teaching encounters and government communication following a nuclear accident to job interviews and foreign news reporting. This comprehensive study of an emerging new field will provide essential reading for linguists, discourse analysts, communication scholars, and other social scientists interested in a range of perspectives on oral, written and digital language use in society, including interactional sociolinguistics, Critical Discourse Analysis, ethnography, multimodality and organizational studies.;https://doi.org/10.1075/dapsac.56;yes;FAUX;
The challenge of measuring hunger through survey;There is widespread interest in estimating the number of hungry people in the world as well as trends in hunger. Current global counts rely on combining each countrys total food balance with information on distribution patterns from household consumption expenditure surveys. Recent research has advocated for calculating hunger numbers directly from these same surveys, which are increasingly available in low-income countries. For either approach, embedded in this effort are a number of important details about how household surveys are designed and how these data are then used. Using a survey experiment in Tanzania, this study finds great fragility in hunger counts stemming from alternative survey designs. As such, caution should be taken in drawing inferences on hunger over time and space based on household surveys.;https://doi.org/10.1086/686669;yes;FAUX;
Finite difference approximation of hedging quantities in the Heston model;"This note concerns the hedging quantities Delta and Gamma in the Heston model for European-style financial options. A modification of the discretization technique from In &#39; t Hout &amp; Foulon (2010) is proposed, which enables a fast and accurate approximation of these important quantities. Numerical experiments are given that illustrate the performance.";https://doi.org/10.1063/1.4756108;yes;VRAI;https://hal.inria.fr/hal-01653505/file/416579_1_En_28_Chapter.pdf
Mind-sets of boundaryless careers in the public sector;Public management reforms have promoted a new type of public career: boundaryless employees following lateral career trajectories in different organizations. The literature opposes boundaryless careers to the traditional career for life, based on vertical trajectories of promotion and tenure. The implicit image of the boundaryless careerist is one of fast-moving, intrinsically motivated professionals who self-direct their career across old organizational barriers. In this article, we study whether boundaryless career mind-sets are the vanguard of a more flexible and mobile workforce. We describe how many public employees experience boundaryless career mind-sets, and we analyze what drives them. Our research shows that boundaryless mind-sets are still rather exceptional. The traditional career mind-set within the organization prevails and many employees are very satisfied with it. Only public employees who are highly educated, invest in their own career and networks, and were successful in previous mobility experiences report a boundaryless career mind-set. Nevertheless, our research also points to a higher potential for boundaryless career mind-sets.;https://doi.org/10.1177/0091026014528479;yes;FAUX;
Assessing indicators of currency crisis in Ethiopia;Currency crises, generally defined as rapid depreciations of a local currency or loss of foreign exchange reserves, are common incidents in modern monetary systems. Due to their repeated occurrence and severity, they have earned wide coverage by both theoretical and empirical literature. However, unlike advanced and emerging economies, currency crises in low-income countries have not received due attention. This paper uses the signals approach developed by Kaminsky et al. (1998) and assesses currency crisis in Ethiopia over the time frame January 1970 to December 2008. Using the Exchange Market Pressure Index (EMPI), we identify three currency crisis episodes that coincide with the liberalization following the fall of Ethiopian socialism, the Ethio-Eritrean border conflict, and the zenith of the global financial crisis. The timing shows the importance of both local and international dynamics. More macroeconomic indicators picked up the first crisis in a 24-month signalling window, compared to the latter two. Three categories of indicators were used: current account, capital account and domestic financial sector. None of the capital account indicators were significant based on the noise-to-signal ratio rule. One possible explanation for this might be the weak integration of the Ethiopian economy with global capital markets.;https://doi.org/10.1111/1467-8268.12148;yes;FAUX;
QoE-driven rate adaptation heuristic for fair Adaptive Video Streaming;HTTP Adaptive Streaming (HAS) is quickly becoming the de facto standard for video streaming services. In HAS, each video is temporally segmented and stored in different quality levels. Rate adaptation heuristics, deployed at the video player, allow the most appropriate level to be dynamically requested, based on the current network conditions. It has been shown that todays heuristics underperform when multiple clients consume video at the same time, due to fairness issues among clients. Concretely, this means that different clients negatively influence each other as they compete for shared network resources. In this article, we propose a novel rate adaptation algorithm called FINEAS (Fair In-Network Enhanced Adaptive Streaming), capable of increasing clients Quality of Experience (QoE) and achieving fairness in a multiclient setting. A key element of this approach is an in-network system of coordination proxies in charge of facilitating fair resource sharing among clients. The strength of this approach is threefold. First, fairness is achieved without explicit communication among clients and thus no significant overhead is introduced into the network. Second, the system of coordination proxies is transparent to the clients, that is, the clients do not need to be aware of its presence. Third, the HAS principle is maintained, as the in-network components only provide the clients with new information and suggestions, while the rate adaptation decision remains the sole responsibility of the clients themselves. We evaluate this novel approach through simulations, under highly variable bandwidth conditions and in several multiclient scenarios. We show how the proposed approach can improve fairness up to 80% compared to state-of-the-art HAS heuristics in a scenario with three networks, each containing 30 clients streaming video at the same time.;https://doi.org/10.1145/2818361;yes;FAUX;
Diaspora organizations, imagined communities and the versatility of diaspora;This article takes the case of Former Yugoslav organizations in the Netherlands to investigate how diaspora organizations are central in constructing identities. Contributing to the growing field of studies about Former Yugoslav diasporas, it explores how diaspora organizations play a role as cultural mediators. Drawing from theories of diaspora, imagined communities and transnationalism, we employ diaspora as a versatile tool of analysis, investigating dimensions of diasporic experience, discourse and practice. Data were gathered through a qualitative study including 25 expert interviews and ethnographic observations. The study indicates that there are two types of diaspora organizations, which are labelled exclusive and mixed diaspora organizations, and that there are notable differences between Bosnian, Serbian and Croatian organizations. Organizations are discussed with regard to their aims, activities and discourses about diaspora and their capacity to forge belongings among communities.;https://doi.org/10.1177/1367549414557803;yes;FAUX;
Sexual harassment;Sexual harassment in the workplace is commonly portrayed as the male supervisor harassing female subordinates. Within this popular characterization, the unequal distribution of formal, organizational power is believed to be a necessary precondition for sexual harassment. The traditional cultural image of harassers and targets has however not kept pace with changing workplace realities. Research has indeed found that female supervisors may in fact be more likely to be subjects of sexual harassment. This article uses survey data from the Australian Public Service to explore this kind of contrapower harassment. Results indicate that a strong link between gender, workplace authority, and sexual harassment exists, but also that this relationship is strongly influenced by age.;https://doi.org/10.1111/1467-8500.12206;yes;FAUX;
Hybridity and the news;This paper introduces the Special Issues central theme of hybridity and the news, defining the scope and setting the scene for the multiple issues and debates covered by the individual contributions in this collection. Opposing both relativist positions that discard hybridity as an analytically useless concept, and preconceived notions that construe hybridity as intrinsically negative or positive, it is argued to move beyond binary thinking and to approach hybridity as a particularly rich site for the analysis of forms and processes of experimentation, innovation, deviation and transition in contemporary journalism. In order to profoundly understand these developments, which come in many forms, manifest themselves on different levels, and serve multiple purposes, a comprehensive, multi- and interdisciplinary perspective is needed. The Special Issue aims to contribute to this research agenda by looking closely into blending categories and interaction patterns in journalistic forms, genres, and practices, encompassing theoretical frameworks and methodological approaches from various disciplinary backgrounds including political and communication sciences, sociology, linguistics, cultural studies, and history. While taking different angles on the subject and being variously located on the macro and micro levels of analysis, the articles assembled here all engage in a careful assessment of hybridity and the news through profound conceptualizations and empirical analyses, connecting with and shedding new light on long-standing debates about the nature and meaning of journalism.;https://doi.org/10.1177/1464884916657520;yes;FAUX;
Japan and international refugee protection norms;Despite being a wealthy democracy and strong supporter of the international system, Japan has consistently recognized very few refugees. This article explores this conundrum. Specifically, it asks whether Japans low recognition rate signifies a lack of compliance with norms of international refugee protection and, after concluding in the affirmative, why this might be the case. The latter question is addressed systematically, using rationalist, normative and domestic institutional theories of international compliance. After proposing several potential factors, this article concludes by discussing how these factors can be addressed so as to promote a higher rate of Japanese refugee recognition.;https://doi.org/10.1177/0117196815606852;yes;FAUX;
